"“Он остался совсем один, без жены и дочери”. Таинственное исчезновение советского актёра, которое не раскрыто до сих порСегодня вспоминаем о выдающемся артисте Афанасии Кочеткове, который прожил достойную жизнь и оставил о себе светлую память в сердцах благодарных зрителей. Афанасий Иванович Кочетков родился 9 марта 1930 года в селе Балахоновка…","Сегодня вспоминаем о выдающемся артисте Афанасии Кочеткове, который прожил достойную жизнь и оставил о себе светлую память в сердцах благодарных зрителей. Афанасий Иванович Кочетков родился 9 марта 1930 года в селе Балахоновка, Клявлинского района, Средневолжского края (сейчас это Самарская область). Советский и российский актёр, Народный артист РСФСР. Будущий артист родился и вырос в многодетной крестьянской семье. Его отец, Иван Васильевич, не вернулся с фронта и Афанасия , который был самым младшим в семье, воспитывала мать, Любовь Прокофьевна. Кочетков учился в школе города Туймазы на Южном Урале, а затем в возрасте 17 лет он уехал в Молдавию, где подал документы в кишинёвский геологический университет. Там же Афанасий в свободное время играл в студенческом театре. Актёр-любитель талантливо и вдохновенно выступал на сцене, и вскоре ему посоветовали профессионально заняться театром. Когда Кочеткову было 26 лет, он окончил Высшее театральное училище имени Щепкина и был принят в труппу Театра-студии киноактёра, где играл до 1962 года. В том же 1962 году Афанасий Кочетков был принят на ставку актёра в Московский драматический театр имени Пушкина, где он играл роль Макара Нагульнова в спектакле “Поднятая целина”, Андрея Соколова в “Судьбе человек”, Никколо Паганини в “Легенде о Паганини” и других персонажей. С 1979 года актёр служил уже в Малом театре. Кинокарьера Кочеткова началась в 1954 году, именно тогда он сыграл свою первую роль в детективной комедии “Шведская спичка”.Затем на талантливого и фактурного актёра обратил внимание молодой режиссёр Владимир Басов и пригласил его сняться в роли матроса Страшнова в своей драме “Необыкновенное лето” (1956).Широкую известность Афанасий Кочетков получил благодаря исполнению роли знаменитого писателя Максима Горького, которого он сыграл в семи кинофильмах. Одной из последний работ в кино для Кочеткова стала роль Константина Устиновича Черненко в биографическом минисериале “Брежнев” (2005). Фильм имел крупный успех, показавший “закулисную” жизнь Леонида Ильича Брежнева и членов Политбюро ЦК КПСС.Афанасий Кочетков ушёл из жизни при загадочных обстоятельствах и это странная история до сих пор хранит много тайн. А теперь более подробно о случившемся со знаменитым актёром. Вечером 8 июня 2004 года Афанасий Иванович разговаривал по телефону со своей племянницей Ниной Нечаевой. Женщина рассказала, что Кочетков пребывал в хорошем настроении и готовился к съёмкам в новых фильмах, а также собирался играть в очередном спектакле. На следующий день его видели в Малом театре, но из-за того, что репетиций не было, Кочетков ушёл домой. Но по каким-то причинам он не добрался до дома. Один из лучших советских и российских артистов исчез, и он больше не появлялся на репетициях. Первыми про актёра вспоминали его коллеги по театру и забили тревогу. Он не отвечал на телефонные звонки и дома его не было. Руководство театра решило связаться с родственниками Кочеткова. Вышли на племянниц артиста, которые вскоре стали искать дядю. Спустя некоторое время удалось выяснить, что вечером 9 июня Афанасия Кочеткова видели недалеко от Мытной улицы, где он проживал. Именно там ему стало нехорошо и он упал. Неравнодушные люди вызвали “Скорую помощь"", но Кочетков пришёл в себя и от осмотра и госпитализации отказался в резкой форме. По крайней мере такую информацию сообщили родственницам актёра в справочной службе ""Скорой помощи"". Но следственные органы выяснили, что это была ложь. Со слов очевидцев, находившемуся без сознания Кочеткову вызывали “Скорую” как минимум четыре раза.Артиста повезли в больницу с диагнозом ""алкогольное опьянение”, но по непонятным причинам его высадили на углу возле одного дома. Якобы Кочеткову стало лучше и он уже мог разговаривать. После этого актёра никто не видел. Что с ним случилось и где он был в течение восьми дней, до сих пор неизвестно. У себя в квартире и в театре Афанасий Кочетков больше не появлялся. Актёр был обнаружен без сознания у станции метро ""Текстильщики"". Через сутки Кочеткову стало лучше, но в ночь на 24 июня 2004 года Народный артист РСФСР неожиданно ушёл из жизни. Что с ним произошло, он так и не смог рассказать.Что касается личной жизни Афанасия Кочеткова, то он был женат на Искре Бабич, которая была известным кинорежиссёром. Овдовел в 2001 году. У супругов была дочь - Ольга Кочеткова, очень талантливая девочка, которая сочиняла стихи и пела. Девушка училась на актёрском факультете ГИТИСа и снималась в фильмах. В 1990 году Ольга создала рок-группу ""Ю"". Страдала от алкогольной зависимости, и чтобы встать на праведный путь, она стала петь в церковном хоре. Но после целой серии сложных жизненных ситуаций Ольга Кочеткова ушла в тяжёлый запой, из которого так и не смогла вернуться. Так получилось, что последние месяцы своей жизни Афанасий Кочетков был совсем один.",Rock Story,29 April,https://zen.yandex.ru/media/rockstory/on-ostalsia-sovsem-odin-bez-jeny-i-docheri-tainstvennoe-ischeznovenie-sovetskogo-aktera-kotoroe-ne-raskryto-do-sih-por-6089229bc462ef3a025c32c2?from=feed&utm_referrer=https%3A%2F%2Fzen.yandex.com&rid=1054745569.484.1620891552096.54664&integration=site_desktop&place=layout&secdata=CMX56NyRLyABMAJQ4AJYAQ%3D%3D&ecom_carousel_under_article=WIDGET1%2CWIDGET3%2CWIDGET4
"Не все водители знают как правильно измерять уровень масла.Вопрос об уровне масла, возникает у каждого второго водителя. Порой,  неопытные автомобилисты сильно акцентируют свой взор на уровне моторного масла в своем двигателе. И я даже знаю таких, которые каждый день измеряют этот уровень…","Вопрос об уровне масла, возникает у каждого второго водителя. Порой,  неопытные автомобилисты сильно акцентируют свой взор на уровне моторного масла в своем двигателе. И я даже знаю таких, которые каждый день измеряют этот уровень, опасаясь за свой двигатель.Частый вопрос от автомобилистов: какой уровень масла должен быть правильным?  Что будет если уровень отклонится от нормы? Ведь существует мнение, что если уровень дойдет до нижней метки щупа, то будет МАСЛЯНОЕ ГОЛОДАНИЕ и ЗАДИРЫ. А если уровень будет выше, то масло может выдавить через сальники и будут еще дополнительные проблемы.Чтобы разобраться и ответить на эти вопросы мы решили произвести свои эксперименты на нашем канале. Даже попытались развеять самые распространённые миры. Рассказываю чем заключается эксперимент.СЛИВАЕМ МАСЛОЧтобы довести уровень масла до минимума нужно слить небольшой уровень. Сливаем чуть больше 1 литра.После того как мы слили масло, обнаружилось что щуп совсем сухой, значит уровень гораздо ниже положенного. Скорее всего масла было не 3.5 л,  а гораздо меньше.Запустили двигатель и.... барабанная дробь! Ничего не произошло! Двигатель работал ровно и не было никаких проблем. Лишь в начале немного постукивали гидрокомпенсаторы. Но стук позже прошёл. И каково было моё удивление! На этом уровне я катался неделю и даже  прошел около 500 км.  Каких-то особых проблем не было замечено! Контрольная лампа давления масла ни разу не загоралась. В последствии, так же ничего не произошло.Давайте проведем обратный эксперимент.  Зальем моторного масла больше положенного. Интересно что получится???Доливаем 4 литра масла, чтобы восполнить уровень.Получилось больше максимального уровня.Теперь запускаем двигатель и ничего подозрительного не наблюдаем, двигатель работает ровно и даже тише. Для полноты и качества эксперимента, решил прокатится на автомобиле. Проверил, нет ли потеков моторного масла?  Ведь многие уверяют, что его должно выдавить через сальники.Этот миф, мне сразу же показался смешным, скажу я вам. Не понятно как именно должно выдавить через сальники? При переизбытке масла масляный насос продолжает перекачивать его с тем же давлением, лишь только в поддоне картера уровень повысится. Все.Проверим следующий эксперимент. Теперь зальем еще масла сверх уровня. Суммарно получил чуть больше 6 литров, вместо положенных 3,5 л. И что же произошло????Ничего не произошло, двигатель работал так же и не скажешь что в нем масла больше уровня. Подозрений никаких.Сейчас я предчувствую ваше возмущение! Конечно, скажите вы, последствия будут видны только в слитом масле. Поэтому мы и сливаем весь объем масла в свою тару. Видно как в объеме масла появились маленькие пузырьки воздуха. Это говорит о том, что уровень достиг коленвала и он разбрызгивал его по всему ""внутремоторному"" пространству. Получился эффект миксера.Для наглядности я взбил миксером обычное моторное масло . И в объеме масла так же присутствовали пузырьки.Какие же можно сделать из этого выводы? Когда моторного масла слишком много- нет ничего хорошего. Во-первых, масло дает дополнительное сопротивление вращению коленвала, что в свою очередь может сказаться на расходе топлива. И образовавшиеся пузырьки могут негативно повлиять на работу двигателя, так как они занимают некоторую часть объема масла, и  к парам трения масло так же будет приходить с пузырьками. Безусловно, в момент нагрузки масла может не хватить. Из -за пузырьков может произойти масляное голодание и задиры на парах трения. Так что лучше не переливать масло!Для чего был эксперимент? Чтобы ответить на ряд вопросов, которые возникают у каждого водителя. Чтобы точно нам знать: что будет с двигателем при критичных уровнях моторного масла выше уровня щупа и ниже уровня щупа? Поэтому, с точной уверенностью можно говорить всем,  что если уровень сдвинулся чуть ниже к минимальному уровню, то НИЧЕГО НЕ ПРОИЗОЙДЕТ! А если вы перельете чуть масла по верхней метке, не нужно его сливать обратно! ТАК ЖЕ НИЧЕГО НЕ БУДЕТ!И ВОТ ВАМ СОВЕТ/ЛАЙФХАК ОТ КАНАЛА ""НАКАЧАННЫЕ КОЛЁСА"" -  держите уровень всегда по центру щупа, и не парьтесь, что он чуть больше или чуть меньше от уровня! Золотая середина! И всё будет в порядке! Доказано на личном опыте.Спасибо что дочитали, проверяйте свой уровень масла, удачи! Оставайтесь с нами, подписывайтесь на канал. Пишите свои вопросы в комментариях. ",Накачанные колёса,29 April,https://zen.yandex.ru/media/nk_kolesa/ne-vse-voditeli-znaiut-kak-pravilno-izmeriat-uroven-masla-608a5f09ed6f976db7479087?from=feed&utm_referrer=https%3A%2F%2Fzen.yandex.com&rid=1054745569.484.1620891552096.54664&integration=site_desktop&place=layout&secdata=CIGS4emRLyABMAJQ4AJYAQ%3D%3D&ecom_carousel_under_article=WIDGET1%2CWIDGET3%2CWIDGET4
"«Мне говорили, что это трудные ленивые дети»: как испанский учитель работал с московскими подросткамиАльберт Феррер родился вырос в Испании, учился в Перу, преподавал в Марокко. Он говорит на испанском, португальском и русском. Ради изучения последнего учитель приехал в Россию, а потом влюбился, женился, остался — и нашел работу…","СКОПИРОВАТЬ ССЫЛКУАльберт Феррер родился и вырос в Испании, учился в Перу, преподавал в Марокко. Он говорит на испанском, португальском, английском, итальянском, французском и теперь на русском. Ради изучения последнего учитель приехал в Россию, а потом влюбился, женился, остался — и нашел работу в обычной московской школе. Нам он рассказал, как работать с трудными подростками и в чем суперсила российских учителей.ПОДПИСАТЬСЯСеньор Альберт (именно так называют его ученики и коллеги) работает в Новой Москве — преподает испанский язык в школе 2120. Он не просто учитель-предметник, но и классный руководитель — сейчас ученики Альберта оканчивают десятый класс, а три года назад они достались ему трудными и неприкаянными семиклассниками.Учителя знают: возраст 12–14 лет — один из самых сложных периодов школьной жизни у детей. Это время, когда они становятся подростками, начинают переоценивать и ставить под сомнение все, что видят и слышат вокруг. А еще в этом возрасте у школьников часто снижается интерес к учебе: адаптация к средней школе уже позади, ОГЭ и ЕГЭ нескоро, а значит, можно расслабиться. Особенно сложно бывает с мальчиками: по наблюдениям педагогов, именно у них в начале подросткового периода традиционно начинает хромать дисциплина и успеваемость. В классе, который достался учителю из Испании, было 22 мальчика и 9 девочек. И его честно предупреждали: будет нелегко. — Когда я стал классным руководителем 7-го класса, мне говорили, что это трудные ленивые дети. Я не понимал почему. Не скажу, что мои ученики ангелы, но для меня все-таки нет деления на хороших, средних и трудных учеников. Все дети примерно одинаковые, индивидуальные проблемы есть у каждого.Под индивидуальными проблемами учитель подразумевает прежде всего потребность детей во внимании и участии со стороны взрослых — как родителей, так и учителей: — Я заметил, что детям не хватает внимания близких, их поддержки и мотивации. Некоторые родители считают, что ребенка всему должны научить в школе, и переживают, когда результат не соответствует их ожиданиям. Пришлось говорить еще и с мамами и папами, объяснять, что у них умные и хорошие дети, но без помощи родителей тяжело научить их всему. Когда родители помогают учителю, когда между ними распределяются зоны ответственности, из детей, как правило, вырастают прекрасные специалисты и граждане. Образование — это командная работа. Философское отношение к так называемым трудным детям у сеньора Альберта сформировалось не случайно. На его родине, в Испании, из плохой успеваемости вообще не принято делать проблему. Там, напротив, активно применяется система второгодничества — около трети школьников страны к 15 годам хоть раз оставались на второй год. Для испанцев это вполне нормально, никто учеников там подобным не попрекает, а в обычном школьном классе могут учиться до трети и даже больше второгодников:— В Испании это обычная ситуация. И это не позор для семьи, как в России. Если ученик не справился с каким-то предметом, у него есть шанс прослушать его еще раз. Мне кажется, и россиянам не нужно этого бояться. Первое, что сделал новый классный руководитель, — решил узнать учеников, причем подошел к вопросу неформально. Сначала педагог старался активно общаться вне уроков сразу со всеми, а потом отдельно приглашал на встречи мальчиков (их, как уже говорилось выше, в классе 22) и девочек. Так получилось узнать ребят поближе, поговорить по душам, чтобы одни не стеснялись других и могли спокойно рассказать о том, что их волнует, интересует, беспокоит. Семиклассники поняли, что новый учитель на их стороне, а педагоги-предметники стали реже жаловаться на поведение детей. И оценки у всех со временем стали лучше. — В работе я стараюсь уйти от образа строгого учителя и стать для детей другом. Я часто говорю моему 10-му классу, что я для них второй отец. Хотя двойки и тройки при этом поставить тоже могу.Все получают справедливые оценки, и это еще один важный принцип: так я учу детей ценить, уважать труд — и свой, и чужойСейчас на уроках испанского школьники вместе с сеньором Альбертом изучают не только язык, но и традиции испаноговорящих стран — учитель любит рассказывать, например, о неформальных региональных праздниках вроде La Tomatina в городе Буньоль, когда местные жители и туристы на улицах устраивают помидорные бои. Детей веселят и радуют подобные истории. А Альберту нравится нативный подход к преподаванию — любая неформальная информация или ситуация, по его мнению, эмоционально включает человека, помогает ему лучше раскрыться. Как работают школы, где нет ни учителей, ни уроков, ни экзаменов (даже итоговых)— В моей стране отношения между учителями, детьми и директором школы обычно теплые, испанские дети учатся, потому что им интересно, а не потому, что надо. Мне кажется, такое отношение к учебе — привычка. В Испании дети относятся к школе спокойно и дружелюбно, так же как и их родители. В России, как мне кажется, дети часто не понимают, зачем учатся. В начале нового учебного года испанский школьник идет на учебу с энтузиазмом, а российский скажет: «Ну вот, опять в школу». И это надо менять. Альберт не перестает удивляться работоспособности российских учителей, которые за один день могут провести уроки, обсудить сценарий школьного праздника на перемене, вечером устроить родительское собрание, заполнить много документов, а еще не забывают о курсах повышения квалификации.— В России, в отличие от других стран, у педагогов много бумажной работы. Как ни парадоксально, в этом есть плюсы: учителя умеют работать в режиме многозадачности. Мне пришлось учиться этому методом погружения тут, в школе. Сначала то, что российские педагоги воспринимают как должное, мне давалось с великим трудом. Другие плюсы российской системы образования, по мнению Альберта, — хорошие учебники, особенно по точным наукам, и разнообразие дополнительных занятий: кружков, секций, студий.— Из российской системы образования в испанскую я бы перенес внеклассную работу с учениками и дополнительное образование. В Испании тоже проводят школьные мероприятия, но не в таких масштабах. А такого количества кружков в Европе либо нет, либо они платные. «Первое время вместо „Я сыта“ говорила „Я стена“»: истории иностранцев, которые выучили русский языкЧто касается жизни за пределами школы (как не спросить испанца про снег, борщ и Пушкина?), то сеньор Альберт чувствует себя в Москве уже практически своим. Снег — понял, принял, полюбил. Борщ, холодец, сырники и селедку под шубой — распробовал. Язык Пушкина и Толстого продолжает активно учить: если между уроками есть окно, ходит на уроки русского к коллегам и читает классику вместе с детьми по школьной программе:— Мой словарный запас увеличивается каждый день. Раньше я и представить не мог, что буду знать слова «военкомат», «пенсия», «приемный покой».Отец Альберта — перуанец, мать — испанка, сам он считает себя полуперуанцем-полуиспанцем, жил с детства на две страны и легко адаптируется в новых условиях:— Мне все равно, где жить. Я человек мира и комфортно себя чувствую в любой стране. В России мне хорошо, ваша страна стала моим домом, и я наслаждаюсь жизнью здесь. ПОДПИСАТЬСЯК комментариямПОДЕЛИТЬСЯСКОПИРОВАТЬ ССЫЛКУПОДПИСАТЬСЯМы используем cookieВо время посещения сайта вы соглашаетесь с политикой обработки персональных данных и пользовательским соглашением",,,https://mel.fm/uchitelya/7435201-spanish_teacher?utm_referrer=https%3A%2F%2Fzen.yandex.com
"«Я променял свои медали на постель с тобой». Бешеная сцена ревности на Олимпиаде-72 в фигурном катанииВ нашем фигурном катании возник документ 50-летней давности. Это официальное донесение сотрудника КГБ, прикрепленного к советским спортсменам, о событиях в команде на Олимпиаде-1972 в Саппоро. В основном вовлечены две пары: Андрей…","
                                                    Войдите на сайт, чтобы оценить посты
                                                    и комментарии.
                                                
                                                Еще не зарегистрированы на Sports.ru?
Зарегистрироваться

                                                Через несколько секунд вы узнаете, почему Sports.ru — самый удобный спортивный сайт
                                            
                                                Еще не зарегистрированы на Sports.ru?
Зарегистрироваться
Вы подписаны на этот блогВ нашем фигурном катании возник документ 50-летней давности. Это официальное донесение сотрудника КГБ, прикрепленного к советским спортсменам, о событиях в команде на Олимпиаде-1972 в Саппоро.В основном вовлечены две пары: Андрей Сурайкин – Людмила Смирнова и Алексей Уланов – Ирина Роднина. Вот артефакт КГБ-шника полностью, дословно.«Как сообщалось в наших шифртелеграммах, среди участников сборной команды СССР по фигурному катанию на коньках во время проведения зимних Олимпийских игр в Саппоро (Япония) сложилась ненормальная обстановка, особенно между Сурайкиным, Улановым и Смирновой. Последняя не скрывала своей интимной связи с Улановым, что породило противоречия между тренерами и различные кривотолки среди спортсменов.Смирнова и УлановБудучи по характеру слабовольным, эгоистичным и расчетливым человеком, Сурайкин в беседе с оперработником пытался найти объяснение и даже оправдать факт измены Родине со стороны фигуриста из ГДР Цоллера.Являясь авантюристичным и склонным к крайностям человеком, Сурайкин 8 февраля с.г. в 3 часа ночи проник через балкон в квартиру Уланова в поисках Смирновой, в результате чего произошла ссора между ним и Улановым. Уланов и проживавший с ним Благов пытались раздеть Сурайкина и сбросить его в обнаженном виде с балкона 4 этажа.В этот же день, находясь в возбужденном состоянии, Сурайкин заявил одному из членов делегации о намерении покончить жизнь самоубийством.Смирнова и СурайкинС учетом создавшегося положения было принято решение о досрочном откомандировании Сурайкина и Смирновой из Японии под предлогом подготовки к чемпионату мира.10 февраля с.г. в сопровождении оперработника Сурайкин и Смирнова были рейсовым самолетом Аэрофлота отправлены в Советский Союз». Попробуем воссоздать ту историю в деталях.1. Ее главный герой – 23-летний на тот момент фигурист Андрей Сурайкин. В Саппоро он выступал в паре с Людмилой Смирновой (она моложе на год) – той самой, из-за которой, по версии сотрудника КГБ, случился конфликт с Улановым.Пара Сурайкин – Смирнова образовалась в 1964-м, когда оба были еще подростками. Восемь лет они катались вместе – сначала у Олега Протопопова, потом у Виктора Кудрявцева и, по словам других фигуристов, были влюблены друг в друга.«Продолжала бы я заниматься фигурным катанием, если бы Андрей ушел из спорта? Нет. Наверное, нет. Мне кажется, я бы не нашла такого партнера. У меня очень много связано с Андреем, мы много хорошего добились вместе», – отвечала Смирнова на вопрос советского журналиста в фильме 1971 года «Этот удивительный спорт».В Саппоро Смирнова и Сурайкин завоевали серебро, уступив только другой паре из СССР Ирина Роднина – Алексей Уланов.2. Роднина и Уланов – главный дуэт страны конца 60-х-начала 70-х: 4 золота на ЧМ, 4 на Евро, 2 победы на чемпионате СССР.В Союзе были уверены, что они пара не только на льду, хотя никаких официальных символов их отношений не было. Лишь в 2013-м Роднина в книге «Слеза чемпионки» рассказала, что Уланов всегда хотел быть с ней.«Мы сидели в кабинете у одного из полковников, который в ЦСКА отвечал за зимние виды. Он спрашивает: «Леша, чего ты хочешь?» И Лешка с пафосом (а для меня это звучало как хохма) говорит: «Я хотел бы не только кататься в паре, но и быть с Ирой в близких отношениях, чтобы у нас были дети», – вспоминала Роднина.3. События, описанные в документе, происходили ночью 8 февраля – скорее всего, уже после поражения в произвольной программе (она стояла в расписании в этот же день), хотя трое из девяти судей поставили Смирнову и Сурайкина выше Родниной и Уланова.Катаясь с Родниной, Уланов тем не менее мечтал, чтобы его партнершей была Смирнова – еще за четыре года до Игр в Саппоро он написал ей письмо с предложением встать в пару.«Я долго хотел кататься именно с Людмилой Смирновой и давно предлагал ей объединиться в пару. Я написал Людмиле письмо в Ленинград, но его перехватил ее тогдашний партнер Андрей Сурайкин. Видимо, под его диктовку Смирнова написала ответное письмо, в котором отказала мне. Я думаю, ее убедили в том, что я из зависти хочу разбить их успешную пару. Но я не отступил – купил билет на самолет в Ленинград. Зная адрес, нашел квартиру Людмилы. Там снова предложил ей выбрать между мной и ее партнером. И на этот раз Людмила предпочла Андрея. После этого четыре года мы не разговаривали», – спустя десятилетия признавался Уланов.Но их роман все же случился – в начале 1972-м Смирнова и Уланов договорились создать пару на льду, а Саппоро стал кульминацией их романа – здесь они договорились о свадьбе и даже купили обручальные кольца.«Со Станиславом Жуком (тренер Уланова и Родниной – Sports.ru) мы договорились, что после Олимпиады-1972 я найду себе другую партнершу. В Саппоро я заметил, что между Смирновой и Сурайкиным отношения охладились, и снова подошел к ней с тем же предложением. На этот раз фигуристка согласилась.Уже во время Олимпийских игр мы купили обручальные кольца. 15 февраля 1972 года я прилетел из Саппоро, а уже 16-го мы с мамой и друзьями отправились на «Стреле» в город на Неве. В тот же день нас расписали, и ночью мы вернулись на самолете в Москву. На чемпионат мира в Калгари мы поехали уже мужем и женой», – рассказывал Уланов.Послеолимпийский ЧМ в Калгари стал последним турниром, где они катались со старыми партнерами: Уланов – с Родниной, Смирнова – с Сурайкиным.   Вместе Уланов и Смирнова завоевали два серебра на ЧМ и забрали бронзу чемпионата СССР – не тот результат, о котором они мечтали. Спустя два сезона пара завершила карьеру, перейдя в ленинградский ансамбль «Балет на льду».Об одном из их последних выступлений в книге рассказывала Роднина, которая дальше каталась и побеждала с Александром Зайцевым:«В конце лета 1974-го мы готовились в Воскресенске к фестивалю молодежи и студентов в ГДР. В домике, где мы жили, шел ремонт – все, что между соседними комнатами происходило, было слышно. И Лелик там талдычит: «Я свои медали поменял на постель с тобой». А Люда в ответ что-то шмыгает. Я потом ей на тренировке говорю: «Люда, ты что с ума сошла? Ты чего ему позволяешь? Собирай манатки и уходи от этого придурка!».4. Пара слов о двух случайных фигурантах доноса.Одиночник Гюнтер Цоллер, побег которого из ГДР якобы оправдывал Сурайкин, действительно попросил политического убежища в ФРГ во время чемпионата Европы, который проходил в Швеции за месяц до Игр-1972. Вместо утренней тренировки перед началом турнира Гюнтер заказал такси к отелю, на котором домчал до посольства ФРГ. Позже он объяснил побег несогласием с политической системой в Восточной Германии.Сурайкин и Цоллер были ровесниками, тесно общались и почти дружили – восточные немцы вообще часто приезжали в Союз, тренировались здесь и выступали на совместных турнирах.  Василий Благов, сосед Уланова по комнате, с которым Алексей якобы планировал сбросить голого Сурайкина из окна, тоже выступал в парном турнире – вместе с Ириной Черняевой. Благову за несколько месяцев до Игр исполнилось 17 лет – это был дебютный взрослый сезон для пары, которую тренировала Татьяна Тарасова. На Игры они попали благодаря победе на чемпионате СССР-1972.5. Сотрудник КГБ присутствовал в сборной на всех международных выездах, а особое внимание уделялось как раз Сурайкину и Смирновой. Вот как описывала это Ирина Роднина:«Интересно, что вполне личные, как мне казалось, взаимоотношения между мной, Улановым, Смирновой и Сурайкиным вызывали нешуточное «государственное» беспокойство. В 1972-м во время чемпионата мира вокруг меня ходил какой-то молодой человек, до смешного ясный такой карикатурный кагэбешник из американского кино про советскую жизнь. Нацепил на пиджак значок «Огонька» и таскал с собой профессиональный фотоаппарат, явно не зная, как им пользоваться.Он все время пытался со мной поговорить, потому что у него были какие-то опасения за Сурайкина и за меня, как бы мы не убежали из команды. Правда, я это поняла не сразу. Вроде бы Смирнова с Улановым уже вместе, но мы двое вроде как неудовлетворенных. И вот этот «Огонек», мы его так звали, ходил за мной, все время разговаривал, заполнял мои перерывы, видимо, настроение мое узнавал».Брак Уланова и Смирновой распался в 1997-м. Сейчас они работают в фигурном катании: Людмила руководит школой «Династия» (там же трудятся их дети Николай и Ирина), Алексей до последнего времени проводил мастер-классы.Сурайкин после расставания со Смирновой пробовал кататься с другими партнершами, но безуспешно – на топ-турнирах он больше не выступал. Поработав тренером с Ларисой Селезневой, Олегом Макаровым, Андреем Бушковым, он уехал по контракту в Чехию, где у него обнаружили онкологическое заболевание – в 1996-м Андрея не стало.Фото: РИА Новости/Целик, Дмитрий Донской; wikipedia.orgВы подписаны на этот блог",,,https://www.sports.ru/tribuna/blogs/figureice/2900199.html?utm_referrer=https%3A%2F%2Fzen.yandex.com
